38
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes
1,0.1773138,-0.90205365,-0.26751134,0.28861168,2.5123632,2.332675,5.2657714,16,1,1,1810125
2,-0.86159486,0.061159048,0.3587918,0.35381123,5.4199333,2.0853796,5.5616627,14,1,1,1810375
3,0.20328394,0.077924408,-0.25477245,0.94217539,3.5322795,2.2266989,2.372061,15,1,0,1694875
4,-0.86786932,0.40535536,0.082128383,0.27521771,5.5562277,2.5589659,0.14695832,17,1,1,1836500
5,0.24656163,-0.62580174,-0.73358768,0.097101264,1.8532701,2.3023276,3.4792852,15,1,0,1775875
6,-0.74691141,-0.60774988,0.093540266,0.25300917,0.32890353,2.5953321,5.2460303,14,1,1,1383875
7,-0.85584992,0.15128098,0.45821682,0.18620491,4.9234195,2.1068301,5.2733274,14,1,1,1584000
8,0.49160948,-0.36210316,-0.55994761,0.56005371,3.2920477,1.3135661,4.5617442,15,1,1,1766250
9,-0.19326487,-0.31237021,-0.20414914,0.90741205,1.2380319,0.75225914,5.4877434,17,1,1,1844625
10,-0.57619387,0.02648068,0.41932359,0.70104718,5.6982098,1.2296169,5.790061,15,1,1,1759250
11,-0.30189309,-0.038874436,0.32083207,0.89689249,6.067718,0.6185869,5.8115897,18,1,1,1873375
12,-0.9184233,-0.15939797,-0.23259135,0.27747467,0.8694734,2.4006286,0.52578473,12,1,1,1641125
13,0.24038994,0.50299084,0.74345744,0.36943734,3.1569426,1.1827013,0.90700787,17,1,1,1953500
14,-0.5437308,0.45442387,-0.70432639,0.04219199,0.81480002,1.5750847,2.2071276,13,1,1,1718500
15,-0.034201495,-0.89899564,0.15686582,0.40746808,1.1652818,2.237916,4.382926,15,1,1,1900875
16,0.64788449,-0.68484885,-0.31792551,0.10075267,3.5923681,2.4615479,5.2186217,13,1,1,1688125
17,-0.43658713,-0.22907963,0.86496025,0.093584321,5.3033805,1.0311549,4.3369484,12,1,1,1373250
18,-0.87849975,0.0084080249,-0.44907612,0.16278237,1.2134739,2.1455941,1.2326151,14,1,1,1229375
19,0.41716745,0.20501941,-0.85568172,0.2274801,4.9093413,0.96687239,3.9957633,14,1,1,1569375
20,-0.13604701,-0.25452235,0.86261863,0.41544992,6.241137,0.58553028,4.0813041,20,1,1,1813250
21,0.34839168,0.074462935,0.61500704,0.70345211,2.6337414,0.72852528,2.212611,16,1,1,1787125
22,0.17551604,0.22290732,0.92006522,0.27015999,2.7601891,0.57532978,0.95261121,15,1,1,1885250
23,-0.72657382,0.024194956,0.44548354,0.52254134,5.5439353,1.6278172,5.6105108,15,1,1,1804375
24,-0.49007481,-0.40894565,-0.76678944,0.068001077,2.1777451,1.3845409,0.78694469,13,1,1,1763125
25,-0.43350637,0.65956318,-0.30119455,0.53509861,5.8065286,1.8192472,1.5020082,20,1,1,1907750
26,0.67749006,0.51639771,-0.053732172,0.52101201,3.895637,2.0390389,2.5930824,13,1,1,1583625
27,-0.26000953,-0.12128924,0.4346292,0.85368699,6.2487421,0.58199453,5.3757944,13,1,1,1612250
28,-0.28127715,0.40684861,0.86395639,0.094534494,3.8554807,1.0347804,5.7872715,16,1,1,1780750
29,-0.33840024,0.81149524,-0.16556697,0.44670832,5.4624119,2.1484723,1.5306549,13,1,1,1598875
30,-0.40995544,-0.66902387,0.29331896,0.54617548,0.52820235,1.8042232,4.7693028,14,1,1,1267500
31,0.63093197,-0.60706592,0.29956657,0.37901944,1.7066271,2.1331847,3.2388723,15,1,1,1724250
32,0.20328394,0.077924408,-0.25477245,0.94217539,3.7717371,0.43893009,3.0396335,14,1,0,1416375
33,0.014983211,0.063236006,-0.8427788,0.53432262,5.4854889,0.13006532,2.8091977,13,1,1,1744625
34,0.69922358,0.38145351,0.60451823,0.011716031,6.2509232,0.7095415,4.4686551,17,1,0,1788250
35,0.24656163,-0.62580174,-0.73358768,0.097101264,3.3853102,1.4754931,5.776268,18,1,1,1623250
36,-0.16202003,-0.35195205,0.0059251245,0.92186987,1.1329441,0.79573685,5.1373868,15,1,1,1716750
37,0.30685273,-0.36733276,-0.0087561952,0.87797004,2.2766986,0.9982,4.0264325,11,1,1,1306125
38,0.69922358,0.38145351,0.60451823,0.011716031,2.0895863,1.8429856,1.0907631,17,1,1,1663250
